School Name,City,AP Classes?,Dual Enrollment?,Offers Electives?,Math Score,English Score,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,student_faculty_ratio,school_type
Moon Valley High School,Phoenix,Yes,Yes,Yes,30%,21%,"3,474",107,41%,9%,3%,42%,3%,2%,28.4,Public
Mosaica Online High School of Arizona,Phoenix,,,,72,45,25512,584,80%,0%,1%,0%,0%,0%,,
Mountain Pointe High School,Phoenix,Yes,Yes,Yes,22%,26%,506,21,35%,22%,3%,30%,3%,1%,32.2,Public
Mountain Sky Middle School,Phoenix,Yes,Yes,Yes,40%,38%,,183,47%,5%,3%,40%,2%,3%,,
Aim Higher College Prep Academy,Phoenix,No,,Yes,25%,25%,,,4%,8%,0%,88%,0%,0%,,
Alhambra High School,Phoenix,No,No,No,30%,30%,"10,646",188,6%,8%,2%,79%,5%,6%,31,Public
Amerischools Academy- Camel Back,Phoenix,No,No,No,17%,22%,,,21%,24%,4%,44%,3%,5%,,
Arcadia High School,Phoenix,Yes,Yes,Yes,29%,34%,5507,88,54%,4%,2%,35%,3%,2%,26.3,Public
Precision Academy,Phoenix,YES,YES,YES,70,41,13261-17680,402,0%,5%,2%,94%,0%,0%,13.6,Public
Premier Charter High School,Phoenix,YES,YES,YES,60,41,,441,1%,4%,1.36%,92%,0%,1.36%,,
Prospect School,Phoenix,,,,,,,,,,,,,,,
Pvonline,Phoenix,YES,YES,YES,30,50,12328,452,50%,7.24%,1.44%,31.88%,3.62%,5.79%,20,Private
Rcb Medical Arts Academy,Phoenix,,,,,,,,,,,,,,,
Mesa Academy for Advanced Studies,Mesa,yes,,,96%,98%,1854,1,78%,1%,0%,10%,9%,2%,,
Mesa Distance Learning Program,Mesa,yes,,yes,32%,47%,13383,250,62%,2%,2%,26%,2%,4%,23.7,Public
Mesa High School,Mesa,yes,yes,yes,50%,23%,7961,139,29%,4%,2%,62%,1%,2%,25.4,Public
Mesa Transitional Learning Center,Mesa,yes,no,no,,,,,,,,,,,,
Mountain View High School,Mesa,yes,yes,yes,37%,37%,3795,100,66%,3%,4%,24%,2%,1%,25.6,Private
Tolleson #206,Tolleson,yes,no,no,30,30,,,9.4,12.7,1.3,70.9,2.3,3,,
Tolleson Union High School,Tolleson,yes,no,no,12,22,9882,129,4.1,9.5,1,82.4,1.1,1.5,34.7,Public
University High School,Tolleson,Yes,Yes,yes,30,89,27,5,10.1,9.4,0.2,63.5,14.1,2.5,11.7,Public
West-Mec- Sierra Linda High School,Tolleson,yes,no,no,30,30,13260,162,3.3,7.9,0.9,85.1,0.9,1.3,30.2,Public
West-Mec- Tolleson Union High School,Tolleson,Yes,No,No,30,30,,,9.1,27.3,27.3,63.6,0,0,,
Betty Fairfax High School,Laveen,yes,yes,no,50%,50%,9497,166,9,27,4,53,3,4,19.8,Public
Cesar Chavez High School,Laveen,yes,yes,yes,45%,43%,8288,144,3,15,4,74,1,2,20.1,Public
Country Gardens Charter School,Laveen,,yes,yes,40%,36%,657,413,20,12,1,63,0,4,,
Heritage Academy Laveen,Laveen,yes,yes,no,42%,47%,7040,135,28,13,4,50,4,1,22.6,Private
Academy with Community Partners,Mesa,yes,no,no,50%,50%,13383,250,29,8,2,56,0,5,16.6,Public
Desert Pointe Academy (closed),Peoria,,,,,,,,,,,,,,,
Great Hearts Academies - Glendale Prep,Peoria,no,no,no,58%,72%,5391,198,73,1,0,12,9,5,2.9,Private
Liberty High School,Peoria,yes,yes,yes,73%,55%,5817,40,78,4,1,12,2,3,4.5,Public
Ombudsman - Charter Northwest,Peoria,yes,no,yes,20%,39%,19951,393,31,13,4,51,0,1,31.7,Public
Peoria Accelerated High School,Peoria,no,no,yes,5%,8%,8620,191,20,11,2,64,1,3,33.1,Public
West-mec - Verrado High School,Buckeye,,Yes,yes,55%,50%,"25,948",630,100,0%,0%,0%,0%,0%,,
West-mec - Youngker High School,Buckeye,,Yes,yes,57%,32%,"24,174",514,50%,21%,0%,25%,4%,0%,,
Youngker High School,Buckeye,,Yes,Yes,21%,26%,"3,378",106,23%,9%,1%,64%,1%,2%,,
Arizona College Prep,Chandler,Yes,Yes,yes,91%,83%,"9,474",181,43%,4%,1%,15%,30%,7%,2.4,Private
Az Compass Prep School,Chandler,,,yes,12%,12%,"18,895",352,12%,24%,32%,26%,2%,4%,,
Independence High School,Glendale,Yes,Yes,Yes,23.4,22.9,3552,59,60%,15%,1%,18%,4%,2%,28.4,Public
Intelli-school Glendale,Glendale,Yes,No,Yes,70,80,"20,398",408,70%,10%,0%,20%,0%,10%,9.1,Private
Ironwood High School,Glendale,Yes,Yes,Yes,23.6,22.8,1998,67,55%,15%,1%,23%,4%,2%,29.7,Public
Jefferson Preparatory High School,Glendale,Yes,Yes,Yes,24.2,23.7,"19,994",396,60%,15%,1%,20%,4%,0%,33.5,Public
Life Development Institute,Glendale,No,Yes,Yes,45,40,"6,189",63,70%,10%,0%,20%,0%,10%,23.2,Private
Arizona Call-A-Teen Center for Excellence,Phoenix,yes,No,Yes,60,70,"20,508",411,3%,3%,4%,89%,0%,0%,1,Private
